sample_setting,Modality,Model,Selected Threshold,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,TP,TN,FP,FN
500/class,Fusion,XGBoost,0.32,0.8578947368421053,0.8431372549019608,0.8865979381443299,0.864321608040201,0.8572774636958209,0.938366034807671,86,77,16,11
750/class,Fusion,XGBoost,0.71,0.8632478632478633,0.9291338582677166,0.8368794326241135,0.8805970149253731,0.8700526195378632,0.9335011057728971,118,84,9,23
