Modality,Model,threshold,accuracy,precision,recall,f1,balanced_accuracy,tp,tn,fp,fn
Audio,LogisticRegression,0.01,0.6302521008403361,0.6206896551724138,1.0,0.7659574468085106,0.5319148936170213,72,3,44,0
Audio,LogisticRegression,0.02,0.6302521008403361,0.6206896551724138,1.0,0.7659574468085106,0.5319148936170213,72,3,44,0
Audio,LogisticRegression,0.03,0.6386554621848739,0.6260869565217392,1.0,0.7700534759358288,0.5425531914893617,72,4,43,0
Audio,LogisticRegression,0.04,0.6470588235294118,0.6363636363636364,0.9722222222222222,0.7692307692307693,0.5605791962174941,70,7,40,2
Audio,LogisticRegression,0.05,0.6554621848739496,0.6422018348623854,0.9722222222222222,0.7734806629834254,0.5712174940898345,70,8,39,2
Audio,LogisticRegression,0.06,0.6554621848739496,0.6448598130841121,0.9583333333333334,0.770949720670391,0.5749113475177305,69,9,38,3
Audio,LogisticRegression,0.07,0.6302521008403361,0.6346153846153846,0.9166666666666666,0.75,0.5540780141843972,66,9,38,6
Audio,LogisticRegression,0.08,0.6386554621848739,0.6407766990291263,0.9166666666666666,0.7542857142857143,0.5647163120567376,66,10,37,6
Audio,LogisticRegression,0.09,0.6386554621848739,0.6435643564356436,0.9027777777777778,0.7514450867052023,0.5684101654846336,65,11,36,7
Audio,LogisticRegression,0.1,0.6386554621848739,0.6494845360824743,0.875,0.7455621301775148,0.5757978723404256,63,13,34,9
Audio,LogisticRegression,0.11,0.6386554621848739,0.6494845360824743,0.875,0.7455621301775148,0.5757978723404256,63,13,34,9
Audio,LogisticRegression,0.12,0.6386554621848739,0.6526315789473685,0.8611111111111112,0.7425149700598802,0.5794917257683215,62,14,33,10
Audio,LogisticRegression,0.13,0.6302521008403361,0.648936170212766,0.8472222222222222,0.7349397590361446,0.572547281323877,61,14,33,11
Audio,LogisticRegression,0.14,0.6302521008403361,0.648936170212766,0.8472222222222222,0.7349397590361446,0.572547281323877,61,14,33,11
Audio,LogisticRegression,0.15,0.6302521008403361,0.648936170212766,0.8472222222222222,0.7349397590361446,0.572547281323877,61,14,33,11
Audio,LogisticRegression,0.16,0.6386554621848739,0.6559139784946236,0.8472222222222222,0.7393939393939394,0.5831855791962175,61,15,32,11
Audio,LogisticRegression,0.17,0.6302521008403361,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.5762411347517731,60,15,32,12
Audio,LogisticRegression,0.18,0.6302521008403361,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.5762411347517731,60,15,32,12
Audio,LogisticRegression,0.19,0.6218487394957983,0.6483516483516484,0.8194444444444444,0.7239263803680982,0.5692966903073287,59,15,32,13
Audio,LogisticRegression,0.2,0.6218487394957983,0.6483516483516484,0.8194444444444444,0.7239263803680982,0.5692966903073287,59,15,32,13
Audio,LogisticRegression,0.21,0.6218487394957983,0.6483516483516484,0.8194444444444444,0.7239263803680982,0.5692966903073287,59,15,32,13
Audio,LogisticRegression,0.22,0.6218487394957983,0.6483516483516484,0.8194444444444444,0.7239263803680982,0.5692966903073287,59,15,32,13
Audio,LogisticRegression,0.23,0.6218487394957983,0.6483516483516484,0.8194444444444444,0.7239263803680982,0.5692966903073287,59,15,32,13
Audio,LogisticRegression,0.24,0.6302521008403361,0.6555555555555556,0.8194444444444444,0.7283950617283951,0.579934988179669,59,16,31,13
Audio,LogisticRegression,0.25,0.6302521008403361,0.6555555555555556,0.8194444444444444,0.7283950617283951,0.579934988179669,59,16,31,13
Audio,LogisticRegression,0.26,0.6302521008403361,0.6555555555555556,0.8194444444444444,0.7283950617283951,0.579934988179669,59,16,31,13
Audio,LogisticRegression,0.27,0.6302521008403361,0.6555555555555556,0.8194444444444444,0.7283950617283951,0.579934988179669,59,16,31,13
Audio,LogisticRegression,0.28,0.6218487394957983,0.651685393258427,0.8055555555555556,0.7204968944099379,0.5729905437352246,58,16,31,14
